Sample,districts,collection_location,water_source,latitude,longitude,tubes_positive_coliforms,tubes_positive_e.coli,coliform_mpn_100mL,e_coli_mpn_100mL,ecoli_risk_level,coliform_risk_level
1,Ilala,Buguruni,Borehole,-6.836183,39.24378,4,0,16,2.2,Low Risk,Intermediate Risk
2,Ilala,Buguruni,Borehole,-6.835814,39.243639,1,1,16,2.2,Low Risk,Intermediate Risk
3,Ilala,Buguruni,Borehole,-6.835395,39.243481,0,0,2.2,2.2,Low Risk,Low Risk
4,Ilala,Buguruni,Borehole,-6.83511,39.243269,3,1,9.2,2.2,Low Risk,Low Risk
5,Ilala,Buguruni,Public Tap,-6.83511,39.24334,0,0,2.2,2.2,Low Risk,Low Risk
6,Ilala,Buguruni,Public Tap,-6.834228,39.242962,0,0,2.2,2.2,Low Risk,Low Risk
7,Ilala,Buguruni,Borehole,-6.834247,39.243667,5,0,16,2.2,Low Risk,Intermediate Risk
8,Ilala,Buguruni,Borehole,-6.833775,39.244147,5,0,16,2.2,Low Risk,Intermediate Risk
9,Ilala,Buguruni,Public Tap,-6.833664,39.244712,0,0,2.2,2.2,Low Risk,Low Risk
10,Ilala,Buguruni,Borehole,-6.834182,39.242925,0,0,2.2,2.2,Low Risk,Low Risk
11,Ilala,Vingunguti,Borehole,-6.843816,39.230893,0,0,2.2,2.2,Low Risk,Low Risk
12,Ilala,Vingunguti,Vendor,-6.843816,39.230893,1,0,2.2,2.2,Low Risk,Low Risk
13,Ilala,Vingunguti,Borehole,-6.844423,39.232144,0,0,2.2,2.2,Low Risk,Low Risk
14,Ilala,Vingunguti,Borehole,-6.844808,39.231914,0,0,2.2,2.2,Low Risk,Low Risk
15,Ilala,Vingunguti,Borehole,-6.844808,39.231914,0,0,2.2,2.2,Low Risk,Low Risk
16,Ilala,Vingunguti,Borehole,-6.844686,39.230143,2,0,5.1,2.2,Low Risk,Low Risk
17,Ilala,Vingunguti,Borehole,-6.844686,39.230162,0,0,2.2,2.2,Low Risk,Low Risk
18,Ilala,Vingunguti,Borehole,-6.842749,39.228255,0,0,2.2,2.2,Low Risk,Low Risk
19,Ilala,Vingunguti,Borehole,-6.843075,39.227878,0,0,2.2,2.2,Low Risk,Low Risk
20,Ilala,Vingunguti,Borehole,-6.846491,39.228295,1,0,2.2,2.2,Low Risk,Low Risk
21,Ilala,Kipawa,Borehole,-6.852718,39.212133,0,0,2.2,2.2,Low Risk,Low Risk
22,Ilala,Kipawa,Borehole,-6.848418,39.211502,1,0,2.2,2.2,Low Risk,Low Risk
23,Ilala,Kipawa,Borehole,-6.848263,39.211651,0,0,2.2,2.2,Low Risk,Low Risk
24,Ilala,Kipawa,Borehole,-6.847167,39.210642,5,0,16,2.2,Low Risk,Intermediate Risk
25,Ilala,Kipawa,Borehole,-6.857304,39.207041,5,0,16,2.2,Low Risk,Intermediate Risk
26,Ilala,Kipawa,Borehole,-6.856169,39.206207,3,0,9.2,2.2,Low Risk,Low Risk
27,Ilala,Kipawa,Borehole,-6.858414,39.207842,0,0,2.2,2.2,Low Risk,Low Risk
28,Ilala,Kipawa,Borehole,-6.861109,39.199709,5,0,16,2.2,Low Risk,Intermediate Risk
29,Ilala,Kipawa,Borehole,-6.863333,39.204582,0,0,2.2,2.2,Low Risk,Low Risk
30,Ilala,Kipawa,Borehole,-6.861289,39.203732,5,0,16,2.2,Low Risk,Intermediate Risk
31,Ilala,Mnyamani,Vendor,-6.857404,39.211004,0,0,2.2,2.2,Low Risk,Low Risk
32,Ilala,Mnyamani,Borehole,-6.83814,39.242258,0,0,2.2,2.2,Low Risk,Low Risk
33,Ilala,Mnyamani,Borehole,-6.842327,39.239651,0,0,2.2,2.2,Low Risk,Low Risk
34,Ilala,Mnyamani,Borehole,-6.841128,39.236413,5,0,16,2.2,Low Risk,Intermediate Risk
35,Ilala,Mnyamani,Borehole,-6.84278,39.238313,1,0,2.2,2.2,Low Risk,Low Risk
36,Ilala,Mnyamani,Public Tap,-6.840616,39.237644,0,0,2.2,2.2,Low Risk,Low Risk
37,Ilala,Mnyamani,Borehole,-6.835622,39.243233,5,1,16,2.2,Low Risk,Intermediate Risk
38,Ilala,Mnyamani,Borehole,-6.837961,39.239145,0,0,2.2,2.2,Low Risk,Low Risk
39,Ilala,Mnyamani,Borehole,-6.837836,39.238684,0,0,2.2,2.2,Low Risk,Low Risk
40,Ilala,Mnyamani,Borehole,-6.837586,39.238759,0,0,2.2,2.2,Low Risk,Low Risk
41,Ilala,Pugu,Open Well,-6.931758,39.127447,4,0,16,2.2,Low Risk,Intermediate Risk
42,Ilala,Pugu,Open Well,-6.931758,39.127448,5,2,16,5.1,Low Risk,Intermediate Risk
43,Ilala,Pugu,Open Well,-6.931753,39.127491,5,0,16,2.2,Low Risk,Intermediate Risk
44,Ilala,Pugu,Open Well,-6.932352,39.12768,3,0,9.2,2.2,Low Risk,Low Risk
45,Ilala,Pugu,Open Well,-6.932359,39.127666,3,0,9.2,2.2,Low Risk,Low Risk
46,Ilala,Pugu,Open Well,-6.931304,39.125805,5,0,16,2.2,Low Risk,Intermediate Risk
47,Ilala,Pugu,Open Well,-6.931306,39.125783,3,0,9.2,2.2,Low Risk,Low Risk
48,Ilala,Pugu,Open Well,-6.931306,39.125784,0,0,2.2,2.2,Low Risk,Low Risk
49,Ilala,Pugu,Open Well,-6.939243,39.109318,5,0,16,2.2,Low Risk,Intermediate Risk
50,Ilala,Pugu,Open Well,-6.926529,39.114824,4,0,16,2.2,Low Risk,Intermediate Risk
51,Ilala,Majohe,Open Well,-6.916026,39.135502,4,0,16,2.2,Low Risk,Intermediate Risk
52,Ilala,Majohe,Open Well,-6.911352,39.140873,5,0,16,2.2,Low Risk,Intermediate Risk
53,Ilala,Majohe,Open Well,-6.910342,39.141203,4,0,16,2.2,Low Risk,Intermediate Risk
54,Ilala,Majohe,Open Well,-6.908974,39.141699,5,1,16,2.2,Low Risk,Intermediate Risk
55,Ilala,Majohe,Open Well,-6.90926,39.141747,5,0,16,2.2,Low Risk,Intermediate Risk
56,Ilala,Majohe,Open Well,-6.909414,39.141008,5,1,16,2.2,Low Risk,Intermediate Risk
57,Ilala,Majohe,Open Well,-6.918466,39.145293,5,0,16,2.2,Low Risk,Intermediate Risk
58,Ilala,Majohe,Open Well,-6.918216,39.146574,5,0,16,2.2,Low Risk,Intermediate Risk
59,Ilala,Majohe,Open Well,-6.918216,39.146575,5,0,16,2.2,Low Risk,Intermediate Risk
60,Ilala,Majohe,Open Well,-6.917963,39.148086,5,0,16,2.2,Low Risk,Intermediate Risk
61,Ilala,Majohe,Open Well,-6.916803,39.142823,5,0,16,2.2,Low Risk,Intermediate Risk
62,Ilala,Chanika,Borehole,-6.879193,39.163308,1,0,2.2,2.2,Low Risk,Low Risk
63,Ilala,Chanika,Borehole,-6.985053,39.096137,0,0,2.2,2.2,Low Risk,Low Risk
64,Ilala,Chanika,Public Tap,-6.98449,39.095981,0,0,2.2,2.2,Low Risk,Low Risk
65,Ilala,Chanika,Closed Well,-6.983841,39.093002,1,0,2.2,2.2,Low Risk,Low Risk
66,Ilala,Chanika,Borehole,-6.981163,39.089917,4,0,16,2.2,Low Risk,Intermediate Risk
67,Ilala,Chanika,Borehole,-6.982353,39.090194,5,1,16,2.2,Low Risk,Intermediate Risk
68,Ilala,Chanika,Vendor,-6.998193,39.087189,0,0,2.2,2.2,Low Risk,Low Risk
69,Ilala,Chanika,Vendor,-6.998193,39.08759,0,0,2.2,2.2,Low Risk,Low Risk
70,Ilala,Chanika,Borehole,-6.998193,39.089191,0,0,2.2,2.2,Low Risk,Low Risk
71,Ilala,Msongola,Public Tap,-6.974322,39.178974,1,0,2.2,2.2,Low Risk,Low Risk
72,Ilala,Msongola,Open Well,-6.974322,39.178985,4,0,16,2.2,Low Risk,Intermediate Risk
73,Ilala,Msongola,Public Tap,-6.976216,39.180654,3,0,9.2,2.2,Low Risk,Low Risk
74,Ilala,Msongola,Open Well,-6.976216,39.180655,5,0,16,2.2,Low Risk,Intermediate Risk
75,Ilala,Msongola,Public Tap,-6.976216,39.119056,0,0,2.2,2.2,Low Risk,Low Risk
76,Ilala,Msongola,Open Well,-6.97285,39.18595,5,4,16,16,Intermediate Risk,Intermediate Risk
77,Ilala,Msongola,Open Well,-6.97285,39.181154,4,1,16,2.2,Low Risk,Intermediate Risk
78,Ilala,Msongola,Open Well,-6.97285,39.181155,5,0,16,2.2,Low Risk,Intermediate Risk
79,Ilala,Msongola,Open Well,-6.97285,39.178159,5,0,16,2.2,Low Risk,Intermediate Risk
80,Ilala,Msongola,Public Tap,-6.974694,39.177736,0,0,2.2,2.2,Low Risk,Low Risk
81,Ilala,Ocean  Road,Beach,-6.807768,39.273843,5,5,16,16,Intermediate Risk,Intermediate Risk
82,Ilala,Ocean  Road,Beach,-6.807768,39.273844,5,5,16,16,Intermediate Risk,Intermediate Risk
83,Ilala,Ocean  Road,Beach,-6.807768,39.273845,5,5,16,16,Intermediate Risk,Intermediate Risk
91,Temeke,Buza,Borehole,-6.892982,39.223518,5,0,16,2.2,Low Risk,Intermediate Risk
92,Temeke,Buza,Vendor,-6.890887,39.223423,0,0,2.2,2.2,Low Risk,Low Risk
93,Temeke,Buza,Closed Well,-6.893069,39.22505,5,0,16,2.2,Low Risk,Intermediate Risk
94,Temeke,Buza,Borehole,-6.896437,39.227023,0,0,2.2,2.2,Low Risk,Low Risk
95,Temeke,Buza,Closed Well,-6.897129,39.22589,0,0,2.2,2.2,Low Risk,Low Risk
96,Temeke,Yombo Kilakala,Borehole,-6.869671,39.245161,0,0,2.2,2.2,Low Risk,Low Risk
97,Temeke,Yombo Kilakala,Borehole,-6.869671,39.245162,0,0,2.2,2.2,Low Risk,Low Risk
98,Temeke,Yombo Kilakala,Borehole,-6.869172,39.243669,0,0,2.2,2.2,Low Risk,Low Risk
99,Temeke,Yombo Kilakala,Borehole,-6.869172,39.243669,0,0,2.2,2.2,Low Risk,Low Risk
100,Temeke,Yombo Kilakala,Borehole,-6.869089,39.243202,1,0,2.2,2.2,Low Risk,Low Risk
101,Temeke,Yombo Vituka,Borehole,-6.871954,39.241591,3,0,9.2,2.2,Low Risk,Low Risk
102,Temeke,Yombo Vituka,Open Well,-6.871955,39.22677,5,0,16,2.2,Low Risk,Intermediate Risk
103,Temeke,Yombo Vituka,Open Well,-6.872151,39.226795,5,0,16,2.2,Low Risk,Intermediate Risk
104,Temeke,Yombo Vituka,Public Tap,-6.872059,39.226753,0,0,2.2,2.2,Low Risk,Low Risk
105,Temeke,Yombo Vituka,Public Tap,-6.871326,39.230568,2,0,5.1,2.2,Low Risk,Low Risk
